iso1,iso2,dist,weeks,pair_location
22072_1#101,22072_1#102,3,0.6,Same
22072_1#101,22072_1#103,9907,0.7,Same
22072_1#101,22072_1#105,9906,1.4,Same
22072_1#101,22072_1#106,9845,1.7,Same
22072_1#101,22072_1#107,9907,2.1,Same
22072_1#101,22072_1#110,9906,3.6,Same
22072_1#101,22072_1#111,9906,3.9,Same
22072_1#101,22072_1#112,9906,3.7,Same
22072_1#101,22072_1#113,9993,4,Same
22072_1#101,22072_1#114,9906,5.7,Same
22072_1#101,22072_1#117,9315,19,Same
22072_1#101,22072_1#119,9909,30,Same
22072_1#101,22072_1#120,9908,32,Same
22072_1#101,22072_1#121,9908,32.9,Same
22072_1#101,22072_1#122,9908,33,Same
22072_1#101,22072_1#123,9908,35,Same
22072_1#101,22072_1#125,9908,37.7,Same
22072_1#101,22072_1#126,9461,39.9,Same
22072_1#101,22072_1#127,9461,41.7,Same
22072_1#101,22072_1#128,9425,50.1,Same
22072_1#101,22072_1#129,9909,58.7,Same
22072_1#101,22072_1#130,10369,65.3,Same
22072_1#101,22072_1#131,10364,67.4,Same
22072_1#101,22072_1#132,10369,73.7,Same
22072_1#101,22072_1#134,10370,76.4,Same
22072_1#101,22072_1#137,6285,85.9,Same
22072_1#101,22072_1#138,9545,88.3,Same
22072_1#101,22072_1#139,10371,91.7,Same
22072_1#101,22072_1#147,10370,93.7,Same
22072_1#101,22072_1#155,9376,53.6,Same
22072_1#101,22072_1#165,10063,68.7,Same
22072_1#101,22072_1#167,2,1.7,Same
22072_1#101,22072_1#237,6624,56.1,Same
22072_1#101,22072_1#239,9906,44,Same
22072_1#101,22072_1#98,9746,5.3,Same
22072_1#101,22072_1#99,2,2,Same
22072_1#101,42070_1#103,10371,97.6,Same
22072_1#101,42070_1#108,9529,191.7,Same
22072_1#101,42070_1#109,9435,132.1,Same
22072_1#101,42070_1#110,9527,191.4,Same
22072_1#101,42070_1#112,9529,191.1,Same
22072_1#101,42070_1#113,10067,187.1,Same
22072_1#101,42070_1#115,9529,186.6,Same
22072_1#101,42070_1#119,10065,186.6,Same
22072_1#101,42070_1#120,9511,188.1,Same
22072_1#101,42070_1#121,9528,186.6,Same
22072_1#101,42070_1#122,9527,188.1,Same
22072_1#101,42070_1#123,9528,186.4,Same
22072_1#101,42070_1#125,9527,186.4,Same
22072_1#101,42070_1#126,9527,188,Same
22072_1#101,42070_1#127,9527,185.6,Same
22072_1#101,42070_1#129,9916,223.1,Same
22072_1#101,42070_1#130,9529,191,Same
22072_1#101,42070_1#133,9435,131.9,Same
22072_1#101,42070_1#14,9527,197,Same
22072_1#101,42070_1#141,9437,135,Same
22072_1#101,42070_1#145,10367,184.7,Same
22072_1#101,42070_1#147,9527,184.1,Same
22072_1#101,42070_1#148,9527,187.4,Same
22072_1#101,42070_1#150,10067,187.3,Same
22072_1#101,42070_1#152,9527,183.7,Same
22072_1#101,42070_1#154,9527,183.4,Same
22072_1#101,42070_1#155,9529,177.9,Same
22072_1#101,42070_1#156,9511,183.3,Same
22072_1#101,42070_1#157,9527,177.6,Same
22072_1#101,42070_1#158,9527,182.6,Same
22072_1#101,42070_1#160,9527,182.3,Same
22072_1#101,42070_1#162,9514,109.7,Same
22072_1#101,42070_1#168,10371,114.1,Same
22072_1#101,42070_1#173,10372,269.4,Same
22072_1#101,42070_1#175,9971,222.7,Same
22072_1#101,42070_1#177,9527,181.1,Same
22072_1#101,42070_1#178,9527,182.7,Same
22072_1#101,42070_1#179,9529,181,Same
22072_1#101,42070_1#18,10380,240.7,Same
22072_1#101,42070_1#181,9527,180.9,Same
22072_1#101,42070_1#183,9527,180.9,Same
22072_1#101,42070_1#187,6505,254.3,Same
22072_1#101,42070_1#189,6506,254.3,Same
22072_1#101,42070_1#191,10201,254.1,Same
22072_1#101,42070_1#196,9390,105.3,Same
22072_1#101,42070_1#197,9490,215.3,Same
22072_1#101,42070_1#201,9493,215.1,Same
22072_1#101,42070_1#203,9492,215,Same
22072_1#101,42070_1#211,10372,254.1,Same
22072_1#101,42070_1#219,6506,251,Same
22072_1#101,42070_1#22,9919,240.4,Same
22072_1#101,42070_1#221,6505,250.7,Same
22072_1#101,42070_1#226,10371,94.7,Same
22072_1#101,42070_1#227,9527,213.7,Same
22072_1#101,42070_1#228,10371,94.9,Same
22072_1#101,42070_1#230,10377,94.4,Same
22072_1#101,42070_1#231,9527,212.6,Same
22072_1#101,42070_1#235,9493,210.7,Same
22072_1#101,42070_1#236,10370,92.9,Same
22072_1#101,42070_1#237,9565,210.3,Same
22072_1#101,42070_1#241,10001,250.6,Same
22072_1#101,42070_1#243,6505,250.6,Same
22072_1#101,42070_1#247,6505,250.6,Same
22072_1#101,42070_1#253,10141,250.4,Same
22072_1#101,42070_1#259,9440,207.1,Same
22072_1#101,42070_1#263,9868,206.7,Same
22072_1#101,42070_1#271,9439,206.3,Same
22072_1#101,42070_1#28,9922,239,Same
22072_1#101,42070_1#281,9495,247.9,Same
22072_1#101,42070_1#283,9491,247.7,Same
22072_1#101,42070_1#287,6299,247.1,Same
22072_1#101,42070_1#3,9436,142.6,Same
22072_1#101,42070_1#30,10372,238.7,Same
22072_1#101,42070_1#302,9461,30,Same
22072_1#101,42070_1#303,9460,203.1,Same
22072_1#101,42070_1#307,9996,246.6,Same
22072_1#101,42070_1#31,6507,251.6,Same
22072_1#101,42070_1#315,9913,243.3,Same
22072_1#101,42070_1#317,9461,29.1,Same
22072_1#101,42070_1#318,8857,202.6,Same
22072_1#101,42070_1#320,9494,202.3,Same
22072_1#101,42070_1#324,9469,202,Same
22072_1#101,42070_1#325,10372,257.7,Same
22072_1#101,42070_1#326,9272,202,Same
22072_1#101,42070_1#332,10168,242.9,Same
22072_1#101,42070_1#333,9914,242.6,Same
22072_1#101,42070_1#339,9919,239.6,Same
22072_1#101,42070_1#345,10373,257,Same
22072_1#101,42070_1#348,9566,199.3,Same
22072_1#101,42070_1#352,9469,199.1,Same
22072_1#101,42070_1#353,10372,255.6,Same
22072_1#101,42070_1#356,9913,241.7,Same
22072_1#101,42070_1#357,9913,241.3,Same
22072_1#101,42070_1#36,8857,194,Same
22072_1#101,42070_1#361,9528,241,Same
22072_1#101,42070_1#363,9919,240.7,Same
22072_1#101,42070_1#39,10195,144.4,Same
22072_1#101,42070_1#4,8858,198.6,Same
22072_1#101,42070_1#40,9529,194,Same
22072_1#101,42070_1#43,9619,139.3,Same
22072_1#101,42070_1#44,9529,193.9,Same
22072_1#101,42070_1#45,9438,139.7,Same
22072_1#101,42070_1#47,9436,139.7,Same
22072_1#101,42070_1#48,10006,193.3,Same
22072_1#101,42070_1#52,9919,238.1,Same
22072_1#101,42070_1#57,6507,251.4,Same
22072_1#101,42070_1#61,6504,251.1,Same
22072_1#101,42070_1#68,9529,192.9,Same
22072_1#101,42070_1#7,9424,146,Same
22072_1#101,42070_1#72,9529,192.7,Same
22072_1#101,42070_1#73,9486,154.6,Same
22072_1#101,42070_1#74,9529,192.7,Same
22072_1#101,42070_1#76,9529,192.6,Same
22072_1#101,42070_1#80,9529,192.3,Same
22072_1#101,42070_1#83,6504,252.6,Same
22072_1#101,42070_1#87,10159,252.1,Same
22072_1#101,42070_1#88,10372,234.6,Same
22072_1#101,42070_1#9,6291,102.3,Same
22072_1#101,42070_1#91,9527,182.6,Same
22072_1#101,42070_1#98,9532,192.1,Same
22072_1#101,42070_2#104,10373,262.6,Same
22072_1#101,42070_2#106,10372,262.6,Same
22072_1#101,42070_2#110,10005,262,Same
22072_1#101,42070_2#114,9526,162.9,Same
22072_1#101,42070_2#116,9526,162.9,Same
22072_1#101,42070_2#12,9968,221.7,Same
22072_1#101,42070_2#120,9527,163,Same
22072_1#101,42070_2#124,9526,163.3,Same
22072_1#101,42070_2#126,9526,163.4,Same
22072_1#101,42070_2#128,9526,163.7,Same
22072_1#101,42070_2#135,9917,229.6,Same
22072_1#101,42070_2#14,9916,221.6,Same
22072_1#101,42070_2#140,10372,262.7,Same
22072_1#101,42070_2#142,10006,262.7,Same
22072_1#101,42070_2#144,10373,266.3,Same
22072_1#101,42070_2#148,9526,164,Same
22072_1#101,42070_2#149,9527,169.1,Same
22072_1#101,42070_2#152,9526,165.3,Same
22072_1#101,42070_2#154,10319,146.4,Same
22072_1#101,42070_2#155,9527,169.6,Same
22072_1#101,42070_2#158,10319,156.6,Same
22072_1#101,42070_2#162,10377,266,Same
22072_1#101,42070_2#165,9407,231.3,Same
22072_1#101,42070_2#166,10372,265.1,Same
22072_1#101,42070_2#170,9412,264.6,Same
22072_1#101,42070_2#179,10319,149.6,Same
22072_1#101,42070_2#180,10320,148.9,Same
22072_1#101,42070_2#182,10321,147.9,Same
22072_1#101,42070_2#183,9104,171,Same
22072_1#101,42070_2#184,10323,147.7,Same
22072_1#101,42070_2#185,9527,171,Same
22072_1#101,42070_2#187,9527,171,Same
22072_1#101,42070_2#189,9527,171,Same
22072_1#101,42070_2#191,9527,171.4,Same
22072_1#101,42070_2#194,10373,266.4,Same
22072_1#101,42070_2#2,6292,217.7,Same
22072_1#101,42070_2#202,10372,267.4,Same
22072_1#101,42070_2#204,10372,267.4,Same
22072_1#101,42070_2#205,10371,232.9,Same
22072_1#101,42070_2#208,10373,267.1,Same
22072_1#101,42070_2#213,9527,172.6,Same
22072_1#101,42070_2#215,9526,172.6,Same
22072_1#101,42070_2#216,10319,156.6,Same
22072_1#101,42070_2#217,9528,172.9,Same
22072_1#101,42070_2#219,9527,172.9,Same
22072_1#101,42070_2#220,9398,159,Same
22072_1#101,42070_2#221,9528,172.9,Same
22072_1#101,42070_2#222,9498,159,Same
22072_1#101,42070_2#223,9527,173.6,Same
22072_1#101,42070_2#227,6612,233.1,Same
22072_1#101,42070_2#229,6612,233.4,Same
22072_1#101,42070_2#230,10005,268.1,Same
22072_1#101,42070_2#232,9970,268,Same
22072_1#101,42070_2#233,9917,223.4,Same
22072_1#101,42070_2#236,9993,267.9,Same
22072_1#101,42070_2#237,9917,222.9,Same
22072_1#101,42070_2#238,10005,267.7,Same
22072_1#101,42070_2#240,9490,275,Same
22072_1#101,42070_2#241,9527,173.6,Same
22072_1#101,42070_2#244,9879,148.9,Same
22072_1#101,42070_2#245,9527,174,Same
22072_1#101,42070_2#248,9526,162.7,Same
22072_1#101,42070_2#251,9527,174.9,Same
22072_1#101,42070_2#252,9526,162,Same
22072_1#101,42070_2#253,9527,175,Same
22072_1#101,42070_2#255,10319,149.9,Same
22072_1#101,42070_2#256,9526,161.6,Same
22072_1#101,42070_2#257,9916,223,Same
22072_1#101,42070_2#260,9535,274,Same
22072_1#101,42070_2#263,9970,222.7,Same
22072_1#101,42070_2#264,9473,273,Same
22072_1#101,42070_2#265,9918,223.9,Same
22072_1#101,42070_2#267,9968,224,Same
22072_1#101,42070_2#273,9399,153.9,Same
22072_1#101,42070_2#275,9397,157.6,Same
22072_1#101,42070_2#277,9527,175.6,Same
22072_1#101,42070_2#278,9436,134.9,Same
22072_1#101,42070_2#279,9527,175.6,Same
22072_1#101,42070_2#28,9526,166.6,Same
22072_1#101,42070_2#281,9527,175.6,Same
22072_1#101,42070_2#283,9528,178.1,Same
22072_1#101,42070_2#286,9452,135.1,Same
22072_1#101,42070_2#287,9527,175.9,Same
22072_1#101,42070_2#291,9968,219.1,Same
22072_1#101,42070_2#294,10372,258.6,Same
22072_1#101,42070_2#295,9968,219.1,Same
22072_1#101,42070_2#298,9917,220.7,Same
22072_1#101,42070_2#299,9968,219.6,Same
22072_1#101,42070_2#3,9701,316.7,Same
22072_1#101,42070_2#305,9527,175.9,Same
22072_1#101,42070_2#306,9489,137.7,Same
22072_1#101,42070_2#307,9441,176,Same
22072_1#101,42070_2#309,9528,176.9,Same
22072_1#101,42070_2#311,9527,177,Same
22072_1#101,42070_2#313,9527,177.6,Same
22072_1#101,42070_2#316,10320,149.9,Same
22072_1#101,42070_2#317,9310,221.7,Same
22072_1#101,42070_2#319,9919,222.7,Same
22072_1#101,42070_2#32,9526,166.7,Same
22072_1#101,42070_2#320,10372,269.7,Same
22072_1#101,42070_2#325,9969,229,Same
22072_1#101,42070_2#326,12,270.4,Same
22072_1#101,42070_2#330,9916,221.3,Same
22072_1#101,42070_2#332,9916,221.1,Same
22072_1#101,42070_2#336,9888,155,Same
22072_1#101,42070_2#338,9526,165.7,Same
22072_1#101,42070_2#339,9526,165.7,Same
22072_1#101,42070_2#34,9916,221.3,Same
22072_1#101,42070_2#340,9526,166,Same
22072_1#101,42070_2#342,9968,221,Same
22072_1#101,42070_2#343,9968,221.7,Same
22072_1#101,42070_2#345,9969,221.7,Same
22072_1#101,42070_2#347,9916,222.3,Same
22072_1#101,42070_2#35,9392,14.3,Same
22072_1#101,42070_2#351,9916,222.7,Same
22072_1#101,42070_2#357,9526,166,Same
22072_1#101,42070_2#358,9526,166.1,Same
22072_1#101,42070_2#359,10321,166.1,Same
22072_1#101,42070_2#36,10373,259.4,Same
22072_1#101,42070_2#360,9527,166.4,Same
22072_1#101,42070_2#362,9316,98.1,Same
22072_1#101,42070_2#38,10372,259.1,Same
22072_1#101,42070_2#4,9968,217.7,Same
22072_1#101,42070_2#42,10372,259,Same
22072_1#101,42070_2#44,10040,259,Same
22072_1#101,42070_2#5,9906,21.1,Same
22072_1#101,42070_2#50,9526,166.7,Same
22072_1#101,42070_2#52,9531,167,Same
22072_1#101,42070_2#54,9526,167.7,Same
22072_1#101,42070_2#56,9526,167.9,Same
22072_1#101,42070_2#59,9528,178.4,Same
22072_1#101,42070_2#6,9969,218.3,Same
22072_1#101,42070_2#60,9526,163.7,Same
22072_1#101,42070_2#62,9313,169,Same
22072_1#101,42070_2#68,10372,259.7,Same
22072_1#101,42070_2#72,10372,259.6,Same
22072_1#101,42070_2#76,10372,261.6,Same
22072_1#101,42070_2#9,9907,21.6,Same
22072_1#101,42070_2#92,10371,97.7,Same
22072_1#101,42092_1#146,10346,310,Same
22072_1#101,42092_1#148,10000,310.1,Same
22072_1#101,42092_1#186,9470,312.3,Same
22072_1#101,42092_1#20,10346,301.9,Same
22072_1#101,42092_1#214,9406,313.6,Same
22072_1#101,42092_1#22,10346,301.9,Same
22072_1#101,42092_1#220,9851,314.9,Same
22072_1#101,42092_1#224,9097,315.7,Same
22072_1#101,42092_1#24,9423,301.9,Same
22072_1#101,42092_1#242,9715,316.6,Same
22072_1#101,42092_1#248,9098,316.9,Same
22072_1#101,42092_1#274,6533,317.1,Same
22072_1#101,42092_1#28,10347,302.6,Same
22072_1#101,42092_1#280,9097,317.7,Same
22072_1#101,42092_1#284,9097,318,Same
22072_1#101,42092_1#286,9715,318.1,Same
22072_1#101,42092_1#288,9098,318.4,Same
22072_1#101,42092_1#30,10346,302.6,Same
22072_1#101,42092_1#308,9494,319,Same
22072_1#101,42092_1#312,9715,319.1,Same
22072_1#101,42092_1#58,9102,304.7,Same
22072_1#101,42092_1#84,10346,306.7,Same
22072_1#101,42092_1#88,9488,307.4,Same
22072_1#101,42092_2#1,9097,319.6,Same
22072_1#101,42092_2#18,9465,6.1,Same
22072_1#101,42092_2#3,9034,319.7,Same
22072_1#101,42092_2#41,10346,303.7,Same
22072_1#101,42092_2#5,9424,320,Same
